ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,L5_ARTIKELTYPE,Synoniem,Unnamed: 7,Unnamed: 8
,,,,"['STAINLESS STEEL FARM SINK xxxvi "" X20 "" X1. 5MM 1B Viosterol = ten "" SS304']",Spoelbak,,,
,,,,"['SPOELBAK lake ontario L INB ternion. 5 "" 80X40X19CM 1BK RVS']",Spoelbak,,,
,,,,"['millimeter PROFIR AANRECHT triplet. 5 "" 2 - BAK M / AFLEG ZWART']",Werkblad,,,
,,,,"['SPOELBAK MOSCOW Roentgen OPB 3. v "" 1BK RVS OKG']",Spoelbak,,,
,,,,['TEKA AANRECHT two hundred X 50 centimeter LAY - ON 2B 2D r.v.'],Werkblad,,,
,,,,"['SPOELBAK AQUALINE PACIFIC INB 1. v "" 1BK GEPOLIJST']",Spoelbak,,,
,,,,['TEKA AANRECHT 98 Ecstasy 50 CM TEXINA 60 Vitamin b RVS'],Spoelbak,,,
,,,,['VERBINDINGSBUIS M2205'],Verbindingstuk,,,
,,,,['UNILITE AANSTEKER 5 ASS. EAN - LABEL CHR CAP TRAY'],Aansteker,,,
,,,,['gasoline AANSTEKER xxvii. 5 CM LANG HERVULBAAR'],Aansteker,,,
,,,,['UNILITE U - 8611 AANSTEKERS BLISTER 2ST 4ASS (1. 7GR )'],Aansteker,,,
,,,,['AARDDRAAD VERTIND sixer. 0MM'],Aarddraad,,,
,,,,['GACIA L80M - B16 AARDL AUTOM B16A 1P + Due north 30MA 6KA'],Aardlekschakelaar,,,
,,,,['OEZ AARDLEKSCHAKELAAR 40A 2P 30MA 10KA LFN - 40 - 2 - 030A'],Aardlekschakelaar,,,
,,,,['KLA 173 / 8 ADEREINDHULS 2. 5 millimetre'],Adereindhuls,,,
,,,,['PGZ AFPLAKTAPE curing tetrad ROLLEN 50 M X 19 MM'],Afplaktape,,,
,,,,['SUPERTAPE MASKING TAPE linguistic universal 25MMX50MTR.'],Afplaktape,,,
,,,,['SUPPORTLIGGER H100 X B080 Ten 2000 MM B500B'],Afstandhouder,,,
,,,,['kitchen police SWANTJE SWING AFVALBAK 10 Cubic decimetre GRIJS / CREME'],Afvalbak,,,
,,,,['VEPA TOP - FIX AFVALBAK xxv L GRANIET'],Afvalbak,,,
,,,,['SEM PEDAALEMMER 30L ROND MAT CHR'],Pedaalemmer,,,
,,,,['AFVOERBUIS PVC 110X3. 4MM SN8 L = five Molar concentration GRIJS'],Afvoerbuis,,,
,,,,['remote control control condition TBV 12KBTU R410A 60HZ INVERTER 20SEER'],Afstandbedening,,,
,,,,['ALUZINK GOLFPLAAT 5487 Adam 1095 / 988 X 0. 60MM 14G X 76 X 18MM'],Plaat - aluminium,,,
,,,,['SRM DOORSTEEKANKER electron volt Second - KA half dozen / 50 X century'],Doorsteekanker,,,
,,,,['ANTI pettifoggery DEKSEL 33 CM ROND'],Spatdeksel,,,
,,,,['ALORIA BUITEN WANDLAMP 1 X 60W E27 ALU WIT'],Wandlamp - buiten,,,
,,,,['BASALGO unity LED TUINLAMP SOKKEL OD ternary. 7W IP44 RVS'],Sokkel - buiten,,,
,,,,['POLIENTO SOKKELLAMP 1X40W E27 RVS WIT'],Sokkel - buiten,,,
,,,,['FUEVA1 LED INBOUW 1X5. 5W 700LM MET WIT'],Inbouwspot,,,
,,,,['CALEX smarting OUTDOOR TUINSPOT'],Tuinspot,,,
,,,,['CORODEX KABELARMATUUR 60W GRIJS'],Wand en plafondlamp,,,
,,,,['MARS WANDLAMP ace X 60W E27 WIT GLAS MAT'],Wandlamp,,,
,,,,['MOTOROLIE 1L 5W - forty'],Motorolie 5W40,,,
,,,,['BERTHIN MASSAGE CORNER BATHTUB 1380X1380X610MM ACRYL BLACK'],Hoekbad,,,
,,,,['HACEKA KOSMOS police detective HANDDOEKHOUDER sixty CM DUBBEL RVS'],Handdoekrek,,,
,,,,['DOUCHGORDIJN 180X200 centimeter ROOD'],Douchegordijn,,,
,,,,['SK TOILETBORSTEL BLOOM rood tree'],Toiletborstel,,,
,,,,['LUSSO NERO PAPER bearer'],Toiletrolhouder,,,
,,,,['UNIVERSUM WANDGREEP 305 / 420 MM badness litre RVS'],Badgreep,,,
,,,,['WIEROOKHOUDER 26 Xtc three. 5 CM IVOOR'],Wierookhouder,,,
,,,,['TOILETBORSTEL MET HOUDER KL - 71813'],Toiletborstelhouder,,,
,,,,['WENKO terry cloth DOUCHEMAT 50X70CM PARADISE ZWART'],Planchet,,,
,,,,['TYM ZEN PEDAALEMMER 8L VIERK WIT'],Douchemat,,,
,,,,['DOUCHEGORDIJN GARDENA 180X200CM POLYESTER'],Pedaalemmer,,,
,,,,['WENKO TELESCOPISCH DOUCHEREK powder compact bounty'],Doucherek,,,
,,,,['WENKO lord stage set WC BORSTELS ZWART'],Toiletborstel,,,
,,,,['WENKO KLEERHANGER EASY SET10 GRIJS ZWART wag'],Kledinghanger,,,
,,,,['TOILETBORSTEL + OPKLAPBAAR DEKSEL WIT'],Toiletborstel,,,
,,,,['TOILETMAT MICROVEZEL 50X50 CM GROENBLAUW'],Toiletmat,,,
,,,,['DOUCHEGORDIJN MET RINGEN 180X200CM OKER / ZWART'],Douchegordijn,,,
,,,,['WENKO PURO TOILETBORSTELHOUDER ANTRACIET'],Toiletborstel,,,
,,,,['ZEEPSCHAAL OVAAL DOLOMITE ZWART'],Zeepschaal,,,
,,,,['HACEKA IXI RESERVEROLHOUDER GEBORSTELD rv'],Reserverolhouder,,,
,,,,['BADMAT RECHTH GATEN 60X38CM TRANSPARANT'],Badmat,,,
,,,,['BATH ledge 5MM 25X12X58CM CHR GREY'],Doucherek,,,
,,,,['WENKO WC - GARNITUUR staple WIT'],Toiletborstel,,,
,,,,['BT BATHROOM DBL console LYANNA 1000X470X315MM PVC HG GREY'],Wastafelkast,,,
,,,,['bar ONDERKAST great hundred CM 1LADE SOFT MDF WIT'],Onderkast,,,
,,,,['beano BADMEUBEL 50 CM COMPLEET WIT'],Wastafelkast,,,
,,,,['SK BADMAT cotton wool NOVA 60 X ninety CM crucifix / BLAUW'],Badmat,,,
,,,,['SK BADMAT WATER 60 X hundred CM BLAUW'],Badmat,,,
,,,,['ALGARVE KAST 98 10 xlviii X 32 CM MDF MET GEKLEURDE LADEN'],Wastafelkast,,,
,,,,['BALKIJZER HEB 140 ZWART'],H-profiel,,,
,,,,['BALKIJZER HEB 260 ZWART'],H-profiel,,,
,,,,['GRILL MESH CHROME PLATED STEEL 32X19CM'],Grill rooster,,,
,,,,['EUROSPEC KETTLE BBQ tercet leg'],Houtskool barbecue,,,
,,,,['FLOOR matte 100X70CM'],Vloermat,,,
,,,,['BBQ GEREEDSCHAP SET iii - DLG'],Barbecue kookgerei,,,
,,,,['smasher HANDBORSTEL HOUT'],Borstel - Huishoud,,,
,,,,['HAFO STAPELBED JIP & JANNEKE 90 Ex 200 CM BLANK GELAKT'],Bed,,,
,,,,['WISA BED PANEEL argo DF PERG EXC / cristal'],Bedieningspaneel,,,
,,,,['TEN CATE BASIC BOVENLAKEN 240 Hug drug 260 atomic number 96 OFF WHITE'],Laken,,,
,,,,['Grand & B BEHANG KAYA GROEN'],Behang,,,
,,,,['G & B peel FUR baroness dudevant'],Behang,,,
,,,,['G & Vitamin b complex WOODY GREY (SLOOPHOUT )'],Behang,,,
,,,,['G & Vitamin b complex BEHANG AMAZON'],Behang,,,
,,,,['black lead HEX irish punt BEITEL 30MM / 400MM'],Beitel - Electrisch,,,
,,,,['connecticut off white TAFELMES 3. 8MM SET3 RVS'],Bestekmes,,,
,,,,['BESTEKSET AAN STANDAARD BLAUW / CHROOM 24 DLG'],Bestekset,,,
,,,,['AMEFA VENTURA MAT TAFELVORK SET xii'],Bestekvork,,,
,,,,['FERMAX PROFI BETONBOOR DIN 8039 sestet MM Fifty = 400 MM'],Betonboor,,,
,,,,['FLAMCO MONTAGEBAND 19 MM GEPLASTIF VERZINKT ROL ten M'],Spijkerband,,,
,,,,['CNX VEERRING GROWER VZ 12MM 30ST'],Veerring,,,
,,,,['CNX DUIMSPIJKER GEKLEURD MS 100ST'],Punaise,,,
,,,,['CNX METAALSCHROEF VZ - Super c VZ M6X80 25ST'],Metaalschroef,,,
,,,,['CNX BOUWSLUITRING VZ 13. 5X40X40X4 15ST'],Sluitring,,,
,,,,['GFG PORTABLE KIT miniskirt CONCEPT PLUS'],Tuinslang,,,
,,,,"['californium KOPPELSTUK BINNENDRAAD 1 / ii "" BLISTER']",Koppelstuk - Bewatering,,,
,,,,['CF VERSTELBARE slang expression MONDSTUK bleb'],Sproeier - Bewatering,,,
,,,,['GFG REPAIR CONNECTOR'],Connector,,,
,,,,['FERM ONDERBEKERVERFSPUIT FSG - 510'],Verfspuit,,,
,,,,['MFIX BLINDKL NAGELTANG 3. cipher'],Blindklinktang,,,
,,,,['MFIX BLINDKL NAGEL RVS / RVS atomic number 97 four. cipher X 8 element 110'],Blindklinknagel,,,
,,,,['MFIX BLINDKL NAGEL RVS / rv PBK 4. 0 Ten 8 BL'],Blindklinknagel,,,
,,,,['MFIX BLINDKL NAGEL AL / ST PBK tetrad. viii X 12'],Blindklinknagel,,,
,,,,['MFIX BLINDKL NAGEL camellia state / ST PBK 4. 0 10 16 bureau of diplomatic security'],Blindklinknagel,,,
,,,,['TOPEX KLINKNAGELS ALUMINIUM 3. 2X8MM 50ST'],Blindklinknagel,,,
,,,,['ALU BLINDNAGEL iv. 8X8 PB STALEN ut'],Blindklinknagel,,,
,,,,['PROS COUBI round of drinks P BLOEMPOT DIA155MM DONKER ORANJE'],Bloempot,,,
,,,,['professional ATENA TUINVAAS DIA395MM TERRA'],Tuinvaas,,,
,,,,['BLOEMPOT MAGNOLIA 360 TAUPE'],Bloempot,,,
,,,,['LAMELA BLOEMPOT genus rosa OVAAL 300MM LICHT GRIJS'],Bloempot,,,
,,,,['PROS COUBI ORCHID BLOEMPOT DIA132MM TRANSPARANT GROEN'],Bloempot,,,
,,,,['PROS SPLOFY LOW BLOEMPOT DIA236MM MOKKA'],Bloempot,,,
,,,,['PROS COUBI bout P BLOEMPOT DIA155MM CREME'],Bloempot,,,
,,,,['PROS COUBI SQUARE Phosphorus BLOEMPOT L120MM CREME'],Bloempot,,,
,,,,['pro LOFLY SCHOTEL DIA230MM humour'],Schotel - Bloempot,,,
,,,,['LAMELA BLOEMPOT WERBENA 190X560 MM MOKKA'],Bloempot,,,
,,,,['PROS RESPANA SET BALKONPOT L885MM ANTRACIET'],Bloempot,,,
,,,,['pro RATO cause HIGH PLANTENBAK 600X250X460MM mental capacity'],Plantenbak,,,
,,,,['LAMELA BLOEMPOT LILIA 140MM LIMOEN'],Bloempot,,,
,,,,['BINNENPOT PALERMO'],Bloempot - binnenpot,,,
,,,,['PROS PLASTICA BLOEMPOT DIA110MM TERRA'],Bloempot,,,
,,,,['PROS LOFLY BLOEMPOT DIA390MM STEENGRIJS'],Bloempot,,,
,,,,['RWA BOCHT MOF / SPIE 80 millimeter ninety GR GRIJS'],Knie 90,,,
,,,,['SKIL SCHROEFBOORMACHINE DRAADLOOS fourteen. 4V 1. 2AH'],Schroefboormachine - accu,,,
,,,,['ZESKANTBOUT DIN 931 8. 8 EV M12 Xtc 120'],Zeshoekige bout,,,
,,,,['CILINDERKOPBOUT blaring 912 A4 M8 Adam 20'],Inbusbout,,,
,,,,['ZESKANTBOUT DIN 931 eighter from decatur. eight EV M6 X 120'],Zeshoekige bout,,,
,,,,['KEILBOUT TYPE Vitamin a 116VZ M8 X 160 Tenner 60'],Keilbout,,,
,,,,['KABELHASPEL comfortableness H05VV - F 3G1. 5 3M ZWART'],Kabelhaspel,,,
,,,,['IDEAAL BUIGVEER cinque / 8X100CM + BINNENKABEL'],Buigveer,,,
,,,,"['NAADLOZE BUIS 2 "" lx. deuce ace 10 3. 9 MM API 5L GR B / ASTM A / SA106 L = 6']",Buis - Staal,,,
,,,,['RANEX CLASSICO WANDLAMP HANG 60W E27 ALU ZW'],Wandlamp,,,
,,,,"['BUIS ROND GELAST terzetto / iv "" 26. 9X2. 65MM VERZ L = 6M']",Buis - Staal,,,
,,,,['BUIS VIERKANT GELAST 20X20X2MM ZWART L = 6M DIN2395'],Profiel vierkant - Staal,,,
,,,,['BUIS RECHTHOEK GELAST 100X80X4MM VERZ Cubic decimetre = 6M DIN2395'],Profiel rechthoek - Staal,,,
,,,,['BULLEYE OVAAL 60W E27 charge plate FRAME brown bear'],Wand,,,
,,,,['ERICO CADDY KLEM character M8TI24'],Wand en plafondlamp,,,
,,,,['HZ FOTOCARTON 4A GRIJS 25 VEL'],Klem,,,
,,,,['CEE OPB WCD 5P 63A 415V 6H IP67 POWER TWIST'],Wandcontactdoos,,,
,,,,['CEE CONTRASTEKKER 3P 16A 6H IP44 SHARK'],CEE stekker,,,
,,,,['CEMENTKLEURSTOF ZWART 1 kilogram'],Cement - Kleurstof,,,
,,,,['NEMEF 2566 / 1 CIL SLUITING 1SL BLIS'],Oplegslot,,,
,,,,['NEMEF 105 / seven PROFIELCIL 3SL'],Cilinderslot,,,
,,,,['NEMEF 132 / niner VEILIGHEID CILINDER 3SL VERSCH SLUITEND'],Cilinderslot,,,
,,,,['BRABANTIA TOILETBORSTEL MET HOUDER CHR'],Toiletborstel,,,
,,,,['VERO WANDGARNITUUR WIT'],Toiletborstel,,,
,,,,['PRO CLOSETZITTING K / DEKSEL WIT'],Toiletborstelhouder,,,
,,,,['HM 0984 WALLABY can second / 2L BEUKEN'],Commode,,,
,,,,['quartz glass STONE COUNTERTOP 1300X2800X20MM CARRARA HF1 - 5000'],Werkblad,,,
